dates,price
2020-10-01,0.718081
2020-10-02,0.716117
2020-10-03,0.716384
2020-10-04,0.717015
2020-10-05,0.719109
2020-10-06,0.710621
2020-10-07,0.713771
2020-10-08,0.717262
2020-10-09,0.724276
2020-10-10,0.724297
2020-10-11,0.722533
2020-10-12,0.720762
2020-10-13,0.716312
2020-10-14,0.713689
2020-10-15,0.708913
2020-10-16,0.707819
2020-10-17,0.708085
2020-10-18,0.709315
2020-10-19,0.705089
2020-10-20,0.70497
2020-10-21,0.710116
2020-10-22,0.712596
2020-10-23,0.713501
2020-10-24,0.713791
2020-10-25,0.712616
2020-10-26,0.712088
2020-10-27,0.711865
2020-10-28,0.704801
2020-10-29,0.70367
2020-10-30,0.702815
2020-10-31,0.702884
2020-11-01,0.700751
2020-11-02,0.705373
2020-11-03,0.719554
2020-11-04,0.71771
2020-11-05,0.725742
2020-11-06,0.725832
2020-11-07,0.725779
2020-11-08,0.728932
2020-11-09,0.727813
2020-11-10,0.728247
2020-11-11,0.727829
2020-11-12,0.723856
2020-11-13,0.727098
2020-11-14,0.727045
2020-11-15,0.728513
2020-11-16,0.731941
2020-11-17,0.729655
2020-11-18,0.730444
2020-11-19,0.727098
2020-11-20,0.73046
2020-11-21,0.730263
2020-11-22,0.730695
2020-11-23,0.730455
2020-11-24,0.736393
2020-11-25,0.736458
2020-11-26,0.735684
2020-11-27,0.738629
2020-11-28,0.738689
2020-11-29,0.740291
2020-11-30,0.735759
2020-12-01,0.737773
2020-12-02,0.741757
2020-12-03,0.744053
2020-12-04,0.742821
2020-12-05,0.742385
2020-12-06,0.743163
2020-12-07,0.741746
2020-12-08,0.740829
2020-12-09,0.74355
2020-12-10,0.752525
2020-12-11,0.753438
2020-12-12,0.753381
2020-12-13,0.754842
2020-12-14,0.753398
2020-12-15,0.755709
2020-12-16,0.756853
2020-12-17,0.761731
2020-12-18,0.762195
2020-12-19,0.762486
2020-12-20,0.758766
2020-12-21,0.757932
2020-12-22,0.754034
2020-12-23,0.757484
2020-12-24,0.759284
2020-12-25,0.75993
2020-12-26,0.759936
2020-12-27,0.760827
2020-12-28,0.758121
2020-12-29,0.761244
2020-12-30,0.768888
2020-12-31,0.770796
2021-01-01,0.769308
2021-01-02,0.769302
2021-01-03,0.771331
2021-01-04,0.766689
2021-01-05,0.776434
2021-01-06,0.781158
2021-01-07,0.777013
2021-01-08,0.776102
2021-01-09,0.775976
2021-01-10,0.773138
2021-01-11,0.770903
2021-01-12,0.776971
2021-01-13,0.774198
2021-01-14,0.777424
2021-01-15,0.770707
2021-01-16,0.77028
2021-01-17,0.769568
2021-01-18,0.768439
2021-01-19,0.770939
2021-01-20,0.776217
2021-01-21,0.776138
2021-01-22,0.771171
2021-01-23,0.771694
2021-01-24,0.771933
2021-01-25,0.771301
2021-01-26,0.774719
2021-01-27,0.764813
2021-01-28,0.767625
2021-01-29,0.763685
2021-01-30,0.764187
2021-01-31,0.762102
2021-02-01,0.763761
2021-02-02,0.761197
2021-02-03,0.763481
2021-02-04,0.760364
2021-02-05,0.767383
2021-02-06,0.76779
2021-02-07,0.767689
2021-02-08,0.770357
2021-02-09,0.77409
2021-02-10,0.772105
2021-02-11,0.774881
2021-02-12,0.776096
2021-02-13,0.775573
2021-02-14,0.776313
2021-02-15,0.778798
2021-02-16,0.774102
2021-02-17,0.775218
2021-02-18,0.776916
2021-02-19,0.786782
2021-02-20,0.786986
2021-02-21,0.788799
2021-02-22,0.791841
2021-02-23,0.791139
2021-02-24,0.797334
2021-02-25,0.786856
2021-02-26,0.770713
2021-02-27,0.770511
2021-02-28,0.775849
2021-03-01,0.776729
2021-03-02,0.782393
2021-03-03,0.77597
2021-03-04,0.771438
2021-03-05,0.76884
2021-03-06,0.768693
2021-03-07,0.771593
2021-03-08,0.765656
2021-03-09,0.77173
2021-03-10,0.773437
2021-03-11,0.778883
2021-03-12,0.775627
2021-03-13,0.776391
2021-03-14,0.776054
2021-03-15,0.774581
2021-03-16,0.774563
2021-03-17,0.780969
2021-03-18,0.775555
2021-03-19,0.773988
2021-03-20,0.773611
2021-03-21,0.772678
2021-03-22,0.774054
2021-03-23,0.760937
2021-03-24,0.75884
2021-03-25,0.759319
2021-03-26,0.76431
2021-03-27,0.764175
2021-03-28,0.763749
2021-03-29,0.763709
2021-03-30,0.760555
2021-03-31,0.759359
2021-04-01,0.761591
2021-04-02,0.76129
2021-04-03,0.761087
2021-04-04,0.761417
2021-04-05,0.765791
2021-04-06,0.766307
2021-04-07,0.761359
2021-04-08,0.76565
2021-04-09,0.761934
2021-04-10,0.762178
2021-04-11,0.762614
2021-04-12,0.762957
2021-04-13,0.764602
2021-04-14,0.772523
2021-04-15,0.775014
2021-04-16,0.773383
2021-04-17,0.773389
2021-04-18,0.772141
2021-04-19,0.77647
2021-04-20,0.772469
2021-04-21,0.775428
2021-04-22,0.770333
2021-04-23,0.774485
2021-04-24,0.774683
2021-04-25,0.774821
2021-04-26,0.779843
2021-04-27,0.776832
2021-04-28,0.779873
2021-04-29,0.777587
2021-04-30,0.771069
2021-05-01,0.771682
2021-05-02,0.771664
2021-05-03,0.775831
2021-05-04,0.7712
2021-05-05,0.774911
2021-05-06,0.778731
2021-05-07,0.784234
2021-05-08,0.784381
2021-05-09,0.785737
2021-05-10,0.78365
2021-05-11,0.783951
2021-05-12,0.773132
2021-05-13,0.77269
2021-05-14,0.778035
2021-05-15,0.777557
2021-05-16,0.778186
2021-05-17,0.777212
2021-05-18,0.779417
2021-05-19,0.772105
2021-05-20,0.777242
2021-05-21,0.772577
2021-05-22,0.773174
2021-05-23,0.773013
2021-05-24,0.775188
2021-05-25,0.774893
2021-05-26,0.773898
2021-05-27,0.77403
2021-05-28,0.770838
2021-05-29,0.771123
2021-05-30,0.771111
